competition_id,season_id,match_id,location,shot_outcome,shot_statsbomb_xg,under_pressure,shot_type,shot_body_part,shot_one_on_one,x,y,goalkeeper_location,num_opposing_players,x_gk,y_gk,goal
9,281,3895302,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,281,3895292,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,281,3895333,"[108.2, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.2,40.1,,,,,1
9,281,3895333,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,281,3895340,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,281,3895074,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,281,3895086,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,281,3895182,"[108.0, 40.0]",Goal,0.7835,,Penalty,Left Foot,,108.0,40.0,,,,,1
9,27,3890401,"[108.0, 40.0]",Off T,0.7835,,Penalty,Right Foot,True,108.0,40.0,"[118.9, 40.2]",1.0,118.9,40.2,0
9,27,3890385,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890287,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890563,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890548,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890548,"[108.0, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.1,,,,,1
9,27,3890544,"[108.0, 40.0]",Saved,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,0
9,27,3890539,"[108.0, 40.0]",Saved,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,0
9,27,3890534,"[108.1, 40.1]",Saved,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,0
9,27,3890529,"[108.1, 40.1]",Saved,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,0
9,27,3890523,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,27,3890518,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890508,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,27,3890499,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890499,"[108.1, 40.1]",Goal,0.7835,,Penalty,Left Foot,,108.1,40.1,,,,,1
9,27,3890494,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,27,3890487,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890486,"[108.0, 40.0]",Saved,0.7835,,Penalty,Left Foot,,108.0,40.0,,,,,0
9,27,3890485,"[108.1, 40.1]",Goal,0.7835,,Penalty,Left Foot,,108.1,40.1,,,,,1
9,27,3890480,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,27,3890479,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890477,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890472,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890469,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890463,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890459,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890449,"[108.0, 40.0]",Goal,0.7835,,Penalty,Right Foot,,108.0,40.0,,,,,1
9,27,3890436,"[108.1, 40.1]",Goal,0.7835,,Penalty,Right Foot,,108.1,40.1,,,,,1
9,27,3890433,"[108.1, 40.1]",Goal,0.7835,,Penalty,Left Foot,,108.1,40.1,,,,,1
